panel,series,point,x_label,y_label,x,y,finite
1,Choke Outlet P,0,Choke Opening (%),Choke Outlet Pressure (bara),10.0,nan,False
1,Choke Outlet P,1,Choke Opening (%),Choke Outlet Pressure (bara),20.0,nan,False
1,Choke Outlet P,2,Choke Opening (%),Choke Outlet Pressure (bara),30.0,45.610899714267674,True
1,Choke Outlet P,3,Choke Opening (%),Choke Outlet Pressure (bara),40.0,91.73649401411733,True
1,Choke Outlet P,4,Choke Opening (%),Choke Outlet Pressure (bara),50.0,113.08605480433344,True
1,Choke Outlet P,5,Choke Opening (%),Choke Outlet Pressure (bara),60.0,124.68334708543851,True
1,Choke Outlet P,6,Choke Opening (%),Choke Outlet Pressure (bara),70.0,131.6761485536373,True
1,Choke Outlet P,7,Choke Opening (%),Choke Outlet Pressure (bara),80.0,136.21474566040092,True
1,Choke Outlet P,8,Choke Opening (%),Choke Outlet Pressure (bara),90.0,139.3263928949146,True
1,Choke Outlet P,9,Choke Opening (%),Choke Outlet Pressure (bara),100.0,141.55213585795497,True
2,Manifold P,0,,Manifold Arrival Pressure (bara),10.0,nan,False
2,Manifold P,1,,Manifold Arrival Pressure (bara),20.0,nan,False
2,Manifold P,2,,Manifold Arrival Pressure (bara),30.0,41.41244102644955,True
2,Manifold P,3,,Manifold Arrival Pressure (bara),40.0,89.77000631381402,True
2,Manifold P,4,,Manifold Arrival Pressure (bara),50.0,111.48710251093993,True
2,Manifold P,5,,Manifold Arrival Pressure (bara),60.0,123.22564996232686,True
2,Manifold P,6,,Manifold Arrival Pressure (bara),70.0,130.29008749588974,True
2,Manifold P,7,,Manifold Arrival Pressure (bara),80.0,134.870702625994,True
2,Manifold P,8,,Manifold Arrival Pressure (bara),90.0,138.0093464690362,True
2,Manifold P,9,,Manifold Arrival Pressure (bara),100.0,140.25356271921115,True
