panel,series,point,x_label,y_label,x,y,finite
1,Curve 1,0,,Feed Rate (t/hr),1.0,60.0,True
1,Curve 1,1,,Feed Rate (t/hr),2.0,80.0,True
1,Curve 1,2,,Feed Rate (t/hr),3.0,70.0,True
1,Curve 1,3,,Feed Rate (t/hr),4.0,65.0,True
1,Curve 1,4,,Feed Rate (t/hr),5.0,67.5,True
1,Curve 1,5,,Feed Rate (t/hr),6.0,68.75,True
1,Curve 1,6,,Feed Rate (t/hr),7.0,69.375,True
1,Curve 1,7,,Feed Rate (t/hr),8.0,69.0625,True
1,Max feasible = 68.8 t/hr,0,,Feed Rate (t/hr),0.0,68.75,True
1,Max feasible = 68.8 t/hr,1,,Feed Rate (t/hr),1.0,68.75,True
1,Design rate = 60 t/hr,0,,Feed Rate (t/hr),0.0,60.0,True
1,Design rate = 60 t/hr,1,,Feed Rate (t/hr),1.0,60.0,True
1,Points 1,0,,Feed Rate (t/hr),1.0,60.0,True
1,Points 1,1,,Feed Rate (t/hr),2.0,80.0,True
1,Points 1,2,,Feed Rate (t/hr),3.0,70.0,True
1,Points 1,3,,Feed Rate (t/hr),4.0,65.0,True
1,Points 1,4,,Feed Rate (t/hr),5.0,67.5,True
1,Points 1,5,,Feed Rate (t/hr),6.0,68.75,True
1,Points 1,6,,Feed Rate (t/hr),7.0,69.375,True
1,Points 1,7,,Feed Rate (t/hr),8.0,69.0625,True
2,100% capacity,0,Iteration,Bottleneck Utilization (%),0.0,100.0,True
2,100% capacity,1,Iteration,Bottleneck Utilization (%),1.0,100.0,True
2,Bars 1,0,Iteration,Bottleneck Utilization (%),1.0,86.95652173913045,True
2,Bars 1,1,Iteration,Bottleneck Utilization (%),2.0,115.94202898550732,True
2,Bars 1,2,Iteration,Bottleneck Utilization (%),3.0,101.44927536231896,True
2,Bars 1,3,Iteration,Bottleneck Utilization (%),4.0,94.20289855072457,True
2,Bars 1,4,Iteration,Bottleneck Utilization (%),5.0,97.82608695652192,True
2,Bars 1,5,Iteration,Bottleneck Utilization (%),6.0,99.63768115942044,True
2,Bars 1,6,Iteration,Bottleneck Utilization (%),7.0,100.54347826086926,True
2,Bars 1,7,Iteration,Bottleneck Utilization (%),8.0,100.09057971014495,True
