panel,series,point,x_label,y_label,x,y,finite
1,API Gravity,0,Separator Pressure (bara),API Gravity (°API),5.0,68.3811073851096,True
1,API Gravity,1,Separator Pressure (bara),API Gravity (°API),10.0,69.48608237766723,True
1,API Gravity,2,Separator Pressure (bara),API Gravity (°API),15.0,69.65237871836726,True
1,API Gravity,3,Separator Pressure (bara),API Gravity (°API),20.0,69.5847508847205,True
1,API Gravity,4,Separator Pressure (bara),API Gravity (°API),25.0,69.4467019376844,True
1,API Gravity,5,Separator Pressure (bara),API Gravity (°API),30.0,69.2876419803919,True
1,API Gravity,6,Separator Pressure (bara),API Gravity (°API),35.0,69.12499240570645,True
1,API Gravity,7,Separator Pressure (bara),API Gravity (°API),40.0,68.96535299002761,True
1,API Gravity,8,Separator Pressure (bara),API Gravity (°API),45.0,68.81118914746023,True
1,API Gravity,9,Separator Pressure (bara),API Gravity (°API),50.0,68.66326362097237,True
2,Oil Density,0,,Stock Tank Oil Density (kg/m³),5.0,707.2242386952616,True
2,Oil Density,1,,Stock Tank Oil Density (kg/m³),10.0,703.3360834128455,True
2,Oil Density,2,,Stock Tank Oil Density (kg/m³),15.0,702.7546226431591,True
2,Oil Density,3,,Stock Tank Oil Density (kg/m³),20.0,702.9909696187775,True
2,Oil Density,4,,Stock Tank Oil Density (kg/m³),25.0,703.4739193870294,True
2,Oil Density,5,,Stock Tank Oil Density (kg/m³),30.0,704.0311973672399,True
2,Oil Density,6,,Stock Tank Oil Density (kg/m³),35.0,704.6019656122326,True
2,Oil Density,7,,Stock Tank Oil Density (kg/m³),40.0,705.1630712816102,True
2,Oil Density,8,,Stock Tank Oil Density (kg/m³),45.0,705.7057800996652,True
2,Oil Density,9,,Stock Tank Oil Density (kg/m³),50.0,706.22731385755,True
