panel,series,point,x_label,y_label,x,y,finite
1,Curve 1,0,Valve Opening [%],Effective Cv (US),20.0,40.0,True
1,Curve 1,1,Valve Opening [%],Effective Cv (US),30.0,60.0,True
1,Curve 1,2,Valve Opening [%],Effective Cv (US),40.0,80.0,True
1,Curve 1,3,Valve Opening [%],Effective Cv (US),50.0,100.0,True
1,Curve 1,4,Valve Opening [%],Effective Cv (US),60.0,120.0,True
1,Curve 1,5,Valve Opening [%],Effective Cv (US),70.0,140.0,True
1,Curve 1,6,Valve Opening [%],Effective Cv (US),80.0,160.0,True
1,Curve 1,7,Valve Opening [%],Effective Cv (US),90.0,180.0,True
1,Curve 1,8,Valve Opening [%],Effective Cv (US),100.0,200.0,True
2,Outlet Pressure,0,Valve Opening [%],Outlet Pressure [bara],20.0,114.99608190250397,True
2,Outlet Pressure,1,Valve Opening [%],Outlet Pressure [bara],30.0,138.3581884899139,True
2,Outlet Pressure,2,Valve Opening [%],Outlet Pressure [bara],40.0,145.2704296005964,True
2,Outlet Pressure,3,Valve Opening [%],Outlet Pressure [bara],50.0,147.21326610285047,True
2,Outlet Pressure,4,Valve Opening [%],Outlet Pressure [bara],60.0,148.1372099496126,True
2,Outlet Pressure,5,Valve Opening [%],Outlet Pressure [bara],70.0,148.66022805118558,True
2,Outlet Pressure,6,Valve Opening [%],Outlet Pressure [bara],80.0,148.9876973523199,True
2,Outlet Pressure,7,Valve Opening [%],Outlet Pressure [bara],90.0,149.20716651581225,True
2,Outlet Pressure,8,Valve Opening [%],Outlet Pressure [bara],100.0,149.36176099216937,True
3,Outlet Temp,0,,Outlet Temperature [°C],20.0,40.330125093025686,True
3,Outlet Temp,1,,Outlet Temperature [°C],30.0,47.120263096639405,True
3,Outlet Temp,2,,Outlet Temperature [°C],40.0,48.866474347701626,True
3,Outlet Temp,3,,Outlet Temperature [°C],50.0,49.33795602095489,True
3,Outlet Temp,4,,Outlet Temperature [°C],60.0,49.5592976995012,True
3,Outlet Temp,5,,Outlet Temperature [°C],70.0,49.68377992599335,True
3,Outlet Temp,6,,Outlet Temperature [°C],80.0,49.76142269565048,True
3,Outlet Temp,7,,Outlet Temperature [°C],90.0,49.81333099478371,True
3,Outlet Temp,8,,Outlet Temperature [°C],100.0,49.84983391843974,True
