panel,series,point,x_label,y_label,x,y,finite
1,Bars 1,0,Component,Molecular Weight (g/mol),0.0,28.0135,True
1,Bars 1,1,Component,Molecular Weight (g/mol),1.0,44.01,True
1,Bars 1,2,Component,Molecular Weight (g/mol),2.0,16.043,True
1,Bars 1,3,Component,Molecular Weight (g/mol),3.0,30.07,True
1,Bars 1,4,Component,Molecular Weight (g/mol),4.0,44.097,True
1,Bars 1,5,Component,Molecular Weight (g/mol),5.0,58.123,True
1,Bars 1,6,Component,Molecular Weight (g/mol),6.0,58.123,True
1,Bars 1,7,Component,Molecular Weight (g/mol),7.0,72.151,True
1,Bars 1,8,Component,Molecular Weight (g/mol),8.0,72.15,True
1,Bars 1,9,Component,Molecular Weight (g/mol),9.0,86.177,True
1,Bars 1,10,Component,Molecular Weight (g/mol),10.0,92.0,True
1,Bars 1,11,Component,Molecular Weight (g/mol),11.0,104.0,True
1,Bars 1,12,Component,Molecular Weight (g/mol),12.0,119.0,True
1,Bars 1,13,Component,Molecular Weight (g/mol),13.0,230.0,True
