Figure,Panel,Series,Output / unit,Minimum,Maximum,Finite points,Missing points
fig12_1_power_vs_ratio.png,1,η_poly = 0.75,Compressor Power (MW),1.9061518619403006,10.261087587554142,15,0
fig12_1_power_vs_ratio.png,1,η_poly = 0.85,Compressor Power (MW),1.6620793779670147,8.62288214204677,15,0
fig12_2_compressor_curve.png,1,Polytropic Head,Polytropic Head (kJ/kg),107.58,133.5,50,0
fig12_2_compressor_curve.png,1,Curve 2,Polytropic Head (kJ/kg),0.0,1.0,2,0
fig12_2_compressor_curve.png,1,Curve 3,Polytropic Head (kJ/kg),0.0,1.0,2,0
fig12_2_compressor_curve.png,1,Curve 4,Polytropic Head (kJ/kg),120.0,120.0,1,0
fig12_2_compressor_curve.png,2,Polytropic Efficiency,Polytropic Efficiency (%),60.00000000000001,77.99730112453145,50,0
fig12_3_multistage_profile.png,1,T limit (150°C),Temperature (°C),150.0,150.0,2,0
fig12_3_multistage_profile.png,1,Temperature,Temperature (°C),30.0,152.8368639442234,6,0
fig12_3_multistage_profile.png,2,Pressure,Pressure (bara),5.0,149.99999999999997,6,0
fig12_4_power_comparison.png,1,Total Power,Total Compressor Power (MW),9.537023980993085,13.855414637607728,4,0
fig12_4_power_comparison.png,2,Illustrative design limit (150°C),Max Discharge Temperature (°C),150.0,150.0,2,0
fig12_4_power_comparison.png,2,Max Discharge T,Max Discharge Temperature (°C),122.47578573818492,400.7602796895086,4,0
fig12_5_discharge_temperature.png,1,η_poly = 0.75,Discharge Temperature (°C),66.5180982049655,286.559940175111,22,0
fig12_5_discharge_temperature.png,1,η_poly = 0.65,Discharge Temperature (°C),72.16447229555303,331.46597125259643,22,0
fig12_5_discharge_temperature.png,1,Illustrative design limit (150°C),Discharge Temperature (°C),150.0,150.0,2,0
fig12_5_discharge_temperature.png,1,Illustrative review threshold (200°C),Discharge Temperature (°C),200.0,200.0,2,0
