branch,original_getter,point_index,T_K,T_C,P_bara,valid
Dew boundary,dewT,0,267.87362454882617,-5.276375451173806,1.1051709180756477,True
Dew boundary,dewT,1,269.7744333569233,-3.375566643076695,1.2214027581601699,True
Dew boundary,dewT,2,271.704737578025,-1.4452624219749737,1.3498588075760032,True
Dew boundary,dewT,3,273.6649422779879,0.5149422779879274,1.4918246976412703,True
Dew boundary,dewT,4,275.85614995760795,2.706149957607977,1.6652911949458864,True
Dew boundary,dewT,5,278.30932587330983,5.159325873309854,1.8794891289619104,True
Dew boundary,dewT,6,281.0602512892142,7.910251289214216,2.147061149799708,True
Dew boundary,dewT,7,284.1503061169395,11.000306116939498,2.48558986101792,True
Dew boundary,dewT,8,287.62730394452535,14.477303944525374,2.919933961208623,True
Dew boundary,dewT,9,291.5462876371013,18.396287637101295,3.4858680675136147,True
Dew boundary,dewT,10,295.9700732677586,22.82007326775863,4.235870305242409,True
Dew boundary,dewT,11,300.9690790886085,27.819079088608532,5.248528181929398,True
Dew boundary,dewT,12,306.6194464258295,33.46944642582952,6.644187817565072,True
Dew boundary,dewT,13,312.9973132766168,39.84731327661683,8.611656617193061,True
Dew boundary,dewT,14,320.16452803578386,47.01452803578388,11.455023606666355,True
Dew boundary,dewT,15,328.1349967648652,54.98499676486523,15.678200031023431,True
Dew boundary,dewT,16,336.79528252750237,63.64528252750239,22.14248886522176,True
Dew boundary,dewT,17,345.55319981638354,72.40319981638356,32.14248886522176,True
Dew boundary,dewT,18,351.03706511538974,77.88706511538976,42.14248886522175,True
Dew boundary,dewT,19,354.39689272698274,81.24689272698276,52.14248886522176,True
Dew boundary,dewT,20,356.1578141724022,83.00781417240222,61.991127724030264,True
Dew boundary,dewT,21,356.6511328701825,83.50113287018252,71.8320115996702,True
Dew boundary,dewT,22,356.00855429159196,82.85855429159199,81.65519627105036,True
Dew boundary,dewT,23,354.26682620411464,81.11682620411466,91.44695917396888,True
Dew boundary,dewT,24,351.3728172975661,78.22281729756611,101.18557786146567,True
Dew boundary,dewT,25,348.08715848869736,74.93715848869738,108.97793812271976,True
Dew boundary,dewT,26,343.92341900131686,70.77341900131688,116.42310400339424,True
Dew boundary,dewT,27,338.85772943028013,65.70772943028015,123.26888329939158,True
Dew boundary,dewT,28,332.8859444404187,59.735944440418734,129.23271972275285,True
Dew boundary,dewT,29,326.02955267620024,52.87955267620026,134.0121115591195,True
Dew boundary,dewT,30,318.3422576855192,45.19225768551922,137.30272970663418,True
Dew boundary,dewT,31,310.67636548218616,37.52636548218618,138.7696831791222,True
Dew boundary,dewT,32,303.1677855130105,30.017785513010494,138.67279713772348,True
Dew boundary,dewT,33,nan,nan,nan,False
Bubble boundary,bubT,0,nan,nan,nan,False
Bubble boundary,bubT,1,295.9175555783393,22.76755557833934,137.27600121161058,True
Bubble boundary,bubT,2,289.67383112001306,16.523831120013085,135.12068193678988,True
Bubble boundary,bubT,3,283.73515539951137,10.585155399511393,132.2990446258625,True
Bubble boundary,bubT,4,277.58265466793733,4.432654667937356,128.6206175970006,True
Bubble boundary,bubT,5,271.2923539936649,-1.8576460063350737,124.10241832868263,True
Bubble boundary,bubT,6,264.9528075600167,-8.197192439983269,118.81300621713828,True
Bubble boundary,bubT,7,258.6591773652025,-14.490822634797496,112.87397458992248,True
Bubble boundary,bubT,8,252.5042403635763,-20.64575963642369,106.4518356673669,True
Bubble boundary,bubT,9,246.56699497182709,-26.58300502817289,99.73883463025633,True
Bubble boundary,bubT,10,240.90063930811388,-32.249360691886096,92.9248323723934,True
Bubble boundary,bubT,11,235.52262889516675,-37.62737110483323,86.16679013623869,True
Bubble boundary,bubT,12,230.40965120718536,-42.740348792814615,79.56516097164875,True
Bubble boundary,bubT,13,225.49926229257713,-47.65073770742285,73.1552408283072,True
Bubble boundary,bubT,14,220.69790905851298,-52.452090941487,66.91610747042687,True
Bubble boundary,bubT,15,215.89309910142768,-57.2569008985723,60.793072280940166,True
Bubble boundary,bubT,16,210.9665891402651,-62.18341085973486,54.72542935552147,True
Bubble boundary,bubT,17,205.8059392050528,-67.34406079494718,48.671421929495104,True
Bubble boundary,bubT,18,200.31310910501367,-72.83689089498631,42.625451454671904,True
Bubble boundary,bubT,19,194.410145378381,-78.73985462161897,36.626039936614035,True
Bubble boundary,bubT,20,188.04284544300526,-85.10715455699471,30.755170591347042,True
Bubble boundary,bubT,21,181.1834280153628,-91.96657198463717,25.13019422505893,True
Bubble boundary,bubT,22,173.83282342455317,-99.31717657544681,19.88935305083216,True
Bubble boundary,bubT,23,166.02249341712755,-107.12750658287243,15.17216285875546,True
Bubble boundary,bubT,24,157.81499712802722,-115.33500287197276,11.096961132426037,True
Bubble boundary,bubT,25,149.3021289484272,-123.84787105157278,7.739626369473611,True
Bubble boundary,bubT,26,140.59959991695314,-132.55040008304684,5.118762765607274,True
Bubble boundary,bubT,27,131.83799648411193,-141.31200351588805,3.1921756188709978,True
Bubble boundary,bubT,28,123.15093992557227,-149.9990600744277,1.8665351460382071,True
Bubble boundary,bubT,29,114.6625166234885,-158.48748337651148,1.017575801294933,True
